timestamp,temp,Atypical_Day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,usage_t-1,usage_t-2,usage_t-3,usage_t-4,usage_t-5,usage_t-6,usage_t-7,usage_t-8,usage_t-9,usage_t-10,usage_t-11,usage_t-12
2017-03-18 07:00:00,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.11900000000000001,0.149,0.105,0.08800000000000001,0.098,0.107,0.14300000000000002,0.145,0.106,0.111,0.113
2017-03-18 07:30:00,35.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.063,0.11900000000000001,0.149,0.105,0.08800000000000001,0.098,0.107,0.14300000000000002,0.145,0.106,0.111
2017-03-18 08:00:00,35.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.069,0.063,0.11900000000000001,0.149,0.105,0.08800000000000001,0.098,0.107,0.14300000000000002,0.145,0.106
2017-03-18 08:30:00,37.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.077,0.069,0.063,0.11900000000000001,0.149,0.105,0.08800000000000001,0.098,0.107,0.14300000000000002,0.145
2017-03-18 09:00:00,37.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13699999999999998,0.086,0.077,0.069,0.063,0.11900000000000001,0.149,0.105,0.08800000000000001,0.098,0.107,0.14300000000000002
2017-03-18 09:30:00,39.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.13699999999999998,0.086,0.077,0.069,0.063,0.11900000000000001,0.149,0.105,0.08800000000000001,0.098,0.107
2017-03-18 10:00:00,39.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.157,0.13699999999999998,0.086,0.077,0.069,0.063,0.11900000000000001,0.149,0.105,0.08800000000000001,0.098
2017-03-18 10:30:00,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10800000000000001,0.171,0.157,0.13699999999999998,0.086,0.077,0.069,0.063,0.11900000000000001,0.149,0.105,0.08800000000000001
2017-03-18 11:00:00,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10800000000000001,0.10800000000000001,0.171,0.157,0.13699999999999998,0.086,0.077,0.069,0.063,0.11900000000000001,0.149,0.105
2017-03-18 11:30:00,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.10800000000000001,0.10800000000000001,0.171,0.157,0.13699999999999998,0.086,0.077,0.069,0.063,0.11900000000000001,0.149
2017-03-18 12:00:00,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.092,0.10800000000000001,0.10800000000000001,0.171,0.157,0.13699999999999998,0.086,0.077,0.069,0.063,0.11900000000000001
2017-03-18 12:30:00,37.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.122,0.092,0.10800000000000001,0.10800000000000001,0.171,0.157,0.13699999999999998,0.086,0.077,0.069,0.063
2017-03-18 13:00:00,37.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.166,0.122,0.092,0.10800000000000001,0.10800000000000001,0.171,0.157,0.13699999999999998,0.086,0.077,0.069
2017-03-18 13:30:00,37.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999999,0.152,0.166,0.122,0.092,0.10800000000000001,0.10800000000000001,0.171,0.157,0.13699999999999998,0.086,0.077
2017-03-18 14:00:00,37.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.20199999999999999,0.152,0.166,0.122,0.092,0.10800000000000001,0.10800000000000001,0.171,0.157,0.13699999999999998,0.086
2017-03-18 14:30:00,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17800000000000002,0.127,0.20199999999999999,0.152,0.166,0.122,0.092,0.10800000000000001,0.10800000000000001,0.171,0.157,0.13699999999999998
2017-03-18 15:00:00,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.17800000000000002,0.127,0.20199999999999999,0.152,0.166,0.122,0.092,0.10800000000000001,0.10800000000000001,0.171,0.157
2017-03-18 15:30:00,37.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.336,0.17800000000000002,0.127,0.20199999999999999,0.152,0.166,0.122,0.092,0.10800000000000001,0.10800000000000001,0.171
2017-03-18 16:00:00,37.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.13,0.336,0.17800000000000002,0.127,0.20199999999999999,0.152,0.166,0.122,0.092,0.10800000000000001,0.10800000000000001
2017-03-18 16:30:00,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07200000000000001,0.094,0.13,0.336,0.17800000000000002,0.127,0.20199999999999999,0.152,0.166,0.122,0.092,0.10800000000000001
2017-03-18 17:00:00,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07200000000000001,0.07200000000000001,0.094,0.13,0.336,0.17800000000000002,0.127,0.20199999999999999,0.152,0.166,0.122,0.092
2017-03-18 17:30:00,36.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.094,0.13,0.336,0.17800000000000002,0.127,0.20199999999999999,0.152,0.166,0.122
2017-03-18 18:00:00,36.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.094,0.13,0.336,0.17800000000000002,0.127,0.20199999999999999,0.152,0.166
